cohorte,MOB,bgi_sum,monto_sum,pct_impago
2023-02-01,18,490912.52119999996,11923880.4391,4.117053367880411
2023-02-01,19,490912.52119999996,11923880.4391,4.117053367880411
2023-02-01,20,634285.0812,11923880.4391,5.319451871725369
2023-02-01,21,634285.0812,11923880.4391,5.319451871725369
2023-02-01,22,634285.0812,11923880.4391,5.319451871725369
2023-02-01,23,634285.0812,11923880.4391,5.319451871725369
2023-02-01,24,624285.0812,11923880.4391,5.23558655580683
2023-02-01,25,621785.0812,11923880.4391,5.214620226827195
2023-02-01,26,621785.0812,11923880.4391,5.214620226827195
2023-02-01,27,619285.0812,11923880.4391,5.193653897847561
2023-02-01,28,619285.0812,11923880.4391,5.193653897847561
2023-02-01,29,610694.0812,11923880.4391,5.121605204941945
2023-02-01,30,610694.0812,11923880.4391,5.121605204941945
2023-02-01,31,610694.0812,11923880.4391,5.121605204941945
2023-02-01,32,610694.0812,11923880.4391,5.121605204941945
2023-02-01,33,610694.0812,11923880.4391,5.121605204941945
2023-03-01,1,0.0,17563937.3926,0.0
2023-03-01,2,0.0,17563937.3926,0.0
2023-03-01,3,0.0,17563937.3926,0.0
2023-03-01,4,0.0,17563937.3926,0.0
2023-03-01,5,141550.84,17563937.3926,0.8059174707582247
2023-03-01,6,357387.13,17563937.3926,2.0347779772351817
2023-03-01,7,476509.19,17563937.3926,2.7129975434822597
2023-03-01,8,476509.19,17563937.3926,2.7129975434822597
2023-03-01,9,476509.19,17563937.3926,2.7129975434822597
2023-03-01,10,476509.19,17563937.3926,2.7129975434822597
2023-03-01,11,704760.49,17563937.3926,4.012542713212632
2023-03-01,12,476509.19,17563937.3926,2.7129975434822597
2023-03-01,13,751942.5958,17563937.3926,4.281173287014829
2023-03-01,14,1045844.9058000001,17563937.3926,5.954501444765074
2023-03-01,15,1045844.9058000001,17563937.3926,5.954501444765074
2023-03-01,16,1209083.92,17563937.3926,6.883900192615173
2023-03-01,17,1308468.34,17563937.3926,7.449743817415798
2023-03-01,18,1415760.02,17563937.3926,8.060607302076155
2023-03-01,19,1415760.02,17563937.3926,8.060607302076155
2023-03-01,20,1339930.7311,17563937.3926,7.628874443975965
2023-03-01,21,1539687.2664,17563937.3926,8.766185121160234
2023-03-01,22,1539687.2664,17563937.3926,8.766185121160234
2023-03-01,23,1600313.2464,17563937.3926,9.111358180280469
2023-03-01,24,1596556.4364,17563937.3926,9.089968841910459
2023-03-01,25,1672261.6482,17563937.3926,9.520995269002459
2023-03-01,26,1831510.1009,17563937.3926,10.427673818011034
2023-03-01,27,1983935.3438,17563937.3926,11.295504529843447
2023-03-01,28,1918548.9063,17563937.3926,10.923227881171558
2023-03-01,29,1907084.1583,17563937.3926,10.857953519599134
2023-03-01,30,1898753.1208000001,17563937.3926,10.810520889239667
2023-03-01,31,1874910.4434,17563937.3926,10.674772982223981
2023-03-01,32,1996203.4334,17563937.3926,11.365352704121094
2023-04-01,1,0.0,13803409.81,0.0
2023-04-01,2,14854.44999999998,13803409.81,0.10761435184832768
2023-04-01,3,14854.44999999998,13803409.81,0.10761435184832768
2023-04-01,4,14854.44999999998,13803409.81,0.10761435184832768
2023-04-01,5,14854.44999999998,13803409.81,0.10761435184832768
2023-04-01,6,198712.43,13803409.81,1.4395894401109575
2023-04-01,7,418529.5084,13803409.81,3.0320733366678185
2023-04-01,8,418529.5084,13803409.81,3.0320733366678185
2023-04-01,9,418529.5084,13803409.81,3.0320733366678185
2023-04-01,10,780307.8084,13803409.81,5.653007620151212
2023-04-01,11,780307.8084,13803409.81,5.653007620151212
2023-04-01,12,560490.73,13803409.81,4.060523723594351
2023-04-01,13,560490.73,13803409.81,4.060523723594351
2023-04-01,14,681096.71,13803409.81,4.934264209895249
2023-04-01,15,604375.3705,13803409.81,4.378449809279407
2023-04-01,16,684277.6989,13803409.81,4.957309159974871
2023-04-01,17,876775.1989,13803409.81,6.351874000472062
2023-04-01,18,876775.1989,13803409.81,6.351874000472062
2023-04-01,19,876775.1989,13803409.81,6.351874000472062
2023-04-01,20,1189982.8689,13803409.81,8.620934140765034
2023-04-01,21,1346359.2689,13803409.81,9.753816538320976
2023-04-01,22,1346359.2689,13803409.81,9.753816538320976
2023-04-01,23,1346359.2689,13803409.81,9.753816538320976
2023-04-01,24,1289859.2689,13803409.81,9.344497386186058
2023-04-01,25,1289859.2689,13803409.81,9.344497386186058
2023-04-01,26,1446369.8089,13803409.81,10.47835157261045
2023-04-01,27,1535329.5409,13803409.81,11.122828069537695
2023-04-01,28,1532841.6209,13803409.81,11.104804117237174
2023-04-01,29,1532841.6209,13803409.81,11.104804117237174
2023-04-01,30,1623075.8509,13803409.81,11.758513825505263
2023-04-01,31,1475729.1009,13803409.81,10.691047510817908
2023-05-01,1,0.0,18692118.89,0.0
2023-05-01,2,0.0,18692118.89,0.0
2023-05-01,3,0.0,18692118.89,0.0
2023-05-01,4,169081.22,18692118.89,0.9045588731540537
2023-05-01,5,169081.22,18692118.89,0.9045588731540537
2023-05-01,6,169081.22,18692118.89,0.9045588731540537
2023-05-01,7,169081.22,18692118.89,0.9045588731540537
2023-05-01,8,169081.22,18692118.89,0.9045588731540537
2023-05-01,9,169081.22,18692118.89,0.9045588731540537
2023-05-01,10,169081.22,18692118.89,0.9045588731540537
2023-05-01,11,268666.07999999996,18692118.89,1.437322764642441
2023-05-01,12,268666.07999999996,18692118.89,1.437322764642441
2023-05-01,13,411283.26,18692118.89,2.200303039052626
2023-05-01,14,534452.5494,18692118.89,2.859240049483764
2023-05-01,15,709899.6594,18692118.89,3.797855468273238
2023-05-01,16,709899.6594,18692118.89,3.797855468273238
2023-05-01,17,1046975.91,18692118.89,5.601162266093419
2023-05-01,18,913379.54,18692118.89,4.886441956500952
2023-05-01,19,906879.54,18692118.89,4.851667942713369
2023-05-01,20,966855.7005,18692118.89,5.172531301506183
2023-05-01,21,1401148.3405,18692118.89,7.495931032460922
2023-05-01,22,1393148.3405,18692118.89,7.453132246260818
2023-05-01,23,1513556.9308,18692118.89,8.097299935373993
2023-05-01,24,1591062.2480000001,18692118.89,8.51194162290073
2023-05-01,25,1582864.7880000002,18692118.89,8.468086455660245
2023-05-01,26,1513020.568,18692118.89,8.094430475773631
2023-05-01,27,1504728.298,18692118.89,8.050068089418192
2023-05-01,28,1619410.8676,18692118.89,8.663602436566784
2023-05-01,29,1607724.188,18692118.89,8.601080473868098
2023-05-01,30,1599331.798,18692118.89,8.556182460703361
2023-06-01,1,0.0,19151054.62,0.0
2023-06-01,2,0.0,19151054.62,0.0
2023-06-01,3,0.0,19151054.62,0.0
2023-06-01,4,5608.421000000002,19151054.62,0.02928518095365341
2023-06-01,5,208477.81100000002,19151054.62,1.0885970257861444
2023-06-01,6,208477.81100000002,19151054.62,1.0885970257861444
2023-06-01,7,415031.151,19151054.62,2.167145148061825
2023-06-01,8,629314.3795,19151054.62,3.2860560005023887
2023-06-01,9,629314.3795,19151054.62,3.2860560005023887
2023-06-01,10,629314.3795,19151054.62,3.2860560005023887
2023-06-01,11,629314.3795,19151054.62,3.2860560005023887
2023-06-01,12,629314.3795,19151054.62,3.2860560005023887
2023-06-01,13,879356.0895,19151054.62,4.591684933014931
2023-06-01,14,1017325.5295,19151054.62,5.312112307577972
2023-06-01,15,1124485.4594999999,19151054.62,5.871663372134436
2023-06-01,16,1679754.1057,19151054.62,8.771078872835462
2023-06-01,17,1679754.1057,19151054.62,8.771078872835462
2023-06-01,18,1584322.0704,19151054.62,8.27276670573247
2023-06-01,19,2084902.1113,19151054.62,10.88661774857389
2023-06-01,20,2156652.7685000002,19151054.62,11.26127417676385
2023-06-01,21,2146853.4785,19151054.62,11.210105767532921
2023-06-01,22,2119255.1485,19151054.62,11.065997098075218
2023-06-01,23,2114232.704,19151054.62,11.039771678119727
2023-06-01,24,2186052.1685,19151054.62,11.414787393572794
