,$,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2025-03,"6,179,544",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04,"6,140,674",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05,"8,168,279",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06,"11,053,471",0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,"15,522,989",0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08,"13,851,253",0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09,"16,391,749",0.07%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,"20,032,850",0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+,,0.0%,0.0%,0.0%,0.0%,0.1%,0.5%,0.6%,1.1%,1.2%,1.5%,1.7%,2.3%,3.0%,3.6%,3.8%,4.2%,4.9%,4.9%,5.0%,5.8%,6.1%,6.6%,7.2%,7.3%,8.2%,8.7%,9.4%,9.2%,9.2%,8.1%,6.5%,4.9%,3.0%,4.2%,2.1%,3.5%,3.9%,2.2%,0.0%,0.0%
